idx,name
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
1,flowrate
