p5,p6,p7,p8,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255,p256,p257,p258,p259,p260,p261,p262,p263,p264,p265,p266,p267,p268,p269,p270,p271,p272,p273,p274,p275,p276,p277,p278,p279,p280,p281,p282,p283,p284,p285,p286,p287,p288,p289,p290,p291,p292,p293,p294,p295,p296,p297,p298,p299,p300,p301,p302,p303,p304,p305,p306,p307,p308,p309,p310,p311,p312,p313,p314,p315,p316,p317,p318,p319,p320,1
-2.0378175e-05,3.6866975e-05,0.00017257096,-6.436561e-05,-0.00013487408,3.651547e-05,-0.000303409,-0.0002109871,-0.00016893524,-0.00040757644,-3.408818e-05,-0.00039298926,0.00027498056,-0.00022278207,-0.0006556086,0.00021652326,-0.00030596968,0.00026010876,-4.1332958e-05,-0.00083944364,-0.00026315966,2.0788819e-05,-0.0008585864,3.051346e-06,-0.00053726026,-0.0011913304,-0.0011968646,0.0034561704,-0.0001478748,-0.00010326845,-7.721277e-05,7.930048e-06,8.2729406e-05,-0.00013511056,-0.00022489311,-0.0007558588,-8.884297e-05,-0.00026830647,-0.00027570408,5.11737e-05,-1.1385499e-05,-1.1604887e-05,-2.010073e-05,-2.7708928e-05,-5.107971e-05,-0.00014261485,-5.159464e-05,-7.772133e-05,-6.5290437e-06,-0.000106566076,-0.00014179824,8.5324e-05,8.5324e-05,5.242636e-05,-0.00021877764,-0.00024393466,-3.053708e-05,-9.777954e-05,-0.00018794293,-0.0001140872,-0.00018376803,-0.00022198922,-9.386894e-05,-9.563887e-05,-0.0001352679,-0.00016387895,-0.00016909074,-0.0002009285,-0.0001593539,-0.00017521111,-0.00019692034,-0.00012906925,-0.00015014224,-0.00014479864,-0.00017166462,-0.00022897364,0.000109291694,8.5587264e-05,-0.0003206673,-0.00033377483,-0.00020726585,-0.00021020176,-0.00016124657,-0.00016583767,-0.00018268357,-0.0001989116,7.176909e-05,-1.6743243e-05,0.00035187943,0.00035062386,0.00034129832,-0.00058957,-0.00062309933,-0.000101705475,-0.00014364233,-0.00016246652,-0.0001807934,-0.0005848894,-0.0006030612,0.00018383507,0.00016784534,-0.00038772108,-0.00044727765,0.002176863,0.002154178,0.0020828766,0.0012723256,0.0012466818,-0.0034824
-1.436007e-05,3.3678356e-05,8.559526e-05,-2.0928603e-05,-0.00015373617,3.7882543e-05,-0.00025103297,-0.00011351042,-0.00022982212,-0.00036099213,-7.721791e-05,-0.00030086975,0.00029053463,-0.00019188608,-0.0005418233,0.00022128136,-0.0002597336,0.00025158783,-1.2876236e-05,-0.0007247713,-0.00021580372,2.9751876e-05,-0.00075148226,2.9272992e-06,-0.0004611541,-0.0010256246,-0.0010409461,0.00313981,-0.00012626832,-8.849981e-05,-3.3551016e-06,7.980529e-05,0.00010721726,-0.00013641329,-0.0002380471,-0.00064281304,-4.216797e-05,-0.00025060587,-0.00023167253,-9.399462e-06,-1.1210192e-05,-1.1457639e-05,-1.890809e-05,-2.978603e-05,-5.035513e-05,-9.701444e-05,-6.0526563e-05,-6.280792e-05,-5.2217492e-05,-0.0001025831,-0.00013346381,0.00010351226,5.930171e-05,4.7319583e-05,-0.00012855238,-0.00014517833,-4.66913e-05,-7.869768e-05,-0.00014166746,-9.07531e-05,-0.00015909722,-0.0001725247,-9.07325e-05,-9.1493435e-05,-0.00013281117,-0.00012474226,-0.00014823455,-0.00016580497,-0.00013993778,-0.00015672058,-0.00016879958,-6.415922e-05,-9.5316595e-05,-9.248748e-05,-0.00012691146,-0.00023328462,9.502823e-05,7.9890146e-05,-0.00027196255,-0.00028200028,-0.00018766646,-0.0001945255,-0.00015246781,-0.00017498084,-0.0001842843,-0.0002083768,3.7885013e-05,-1.5399466e-05,0.00033616455,0.00033483814,0.00031287476,-0.0004967118,-0.0005201404,-0.000113347356,-0.0001404607,-0.00016697236,-0.00018095535,-0.00052119495,-0.00054382154,0.00017153796,0.00015769321,-0.0003425251,-0.00037289783,0.0019958245,0.0019667589,0.0018571306,0.0011336792,0.0010770729,-0.0031814578
4.322384e-05,6.918246e-07,4.741261e-05,-5.5101398e-05,-0.00022170613,3.643507e-05,-0.00024646442,-0.00012058452,-0.0001921267,-0.0003307354,-3.527531e-05,-0.0003008761,0.00031435027,-0.0002030743,-0.0005269602,0.00021372775,-0.00022680733,0.00024290223,-3.118002e-05,-0.00068261573,-0.00024111204,8.159473e-06,-0.00070268736,2.5963557e-06,-0.00043103495,-0.0009535911,-0.0009770832,0.0029399593,-0.000116383395,-6.613511e-05,-1.1576097e-05,7.944988e-05,0.00012306066,-0.00014697669,-0.00020776363,-0.0006196584,-2.1547191e-06,-0.00021731081,-0.00022371601,3.3455723e-05,-1.0614117e-05,-1.0884608e-05,-1.3259138e-05,-1.626014e-05,-5.7724104e-05,-0.00017984862,9.317625e-06,4.995215e-07,-6.246618e-05,-9.534216e-05,-0.00010509449,6.126112e-05,3.4012774e-05,5.01944e-06,-9.1930735e-05,-0.00011708779,-4.7291043e-05,-9.074113e-05,-0.00016475185,-0.000117540774,-0.0001518268,-0.00015494443,-8.893496e-05,-9.040474e-05,-0.0001242452,-0.000117291034,-0.00013754873,-0.00017398698,-0.00011769601,-0.00015069227,-0.00017980636,-4.19069e-05,-6.479423e-05,-0.00011105154,-0.00014213912,-0.00022004853,7.291468e-05,5.7464065e-05,-0.00026384043,-0.0002685767,-0.00019815066,-0.00020685144,-0.00013278451,-0.00017054456,-0.00018982252,-0.00021864199,5.7793637e-05,-2.1725753e-05,0.00031803068,0.00031546387,0.00028756761,-0.0004828798,-0.0005104095,-8.1799226e-05,-0.0001194317,-0.00016894707,-0.00018669771,-0.0004709614,-0.00054126757,0.00014860899,0.00014586771,-0.00030731515,-0.00038676476,0.0018819763,0.001855727,0.0017619728,0.001050403,0.001024491,-0.002971276
-1.5886346e-05,2.0629466e-06,0.00011342018,-5.3873184e-05,-0.00016064628,4.310955e-05,-0.0002337009,-0.00018136641,-0.00014169318,-0.00033830927,-3.4814493e-05,-0.00030896498,0.0002948184,-0.00012727217,-0.0005197824,0.00026353783,-0.00025300178,0.00020888002,4.1108884e-05,-0.00068085926,-0.00015159948,3.316802e-05,-0.0006895983,3.9503e-06,-0.00044356624,-0.00096647127,-0.000995144,0.0028801982,-0.00014736758,-8.648437e-05,4.1614127e-05,0.00013022132,0.00012657746,-0.00011796867,-0.00020023972,-0.00060572074,-5.4352167e-05,-0.00022309941,-0.00022426763,1.828242e-05,-1.0386208e-05,-1.0665717e-05,-1.3063804e-05,-2.518796e-05,-2.6873147e-05,-0.00010536365,-2.5135923e-05,-3.140814e-05,-2.2769495e-05,-8.9199486e-05,-9.904987e-05,0.000103595194,2.9461788e-05,6.4337846e-06,-0.00018133828,-0.00018133828,-3.7966955e-05,-0.00011726619,-0.00014788451,-9.6729964e-05,-0.00015337061,-0.00017314029,-8.364981e-05,-8.453192e-05,-0.0001088142,-0.0001280985,-0.00014928615,-0.00016065479,-0.00012101167,-0.0001478314,-0.0001766102,-9.046658e-05,-9.672202e-05,-9.925272e-05,-0.00011815219,-0.00017465933,8.343365e-05,7.036109e-05,-0.0002586141,-0.0002643601,-0.00016824093,-0.00017526325,-0.00013634958,-0.00014912985,-0.00015515475,-0.00018654158,6.5560234e-05,5.1976866e-05,0.00029662586,0.00029453158,0.00027204226,-0.0004620713,-0.0004734831,-0.00010752501,-0.00013197836,-0.00014635416,-0.00015582432,-0.0004620675,-0.000500794,0.00014196902,0.00013187964,-0.0003193517,-0.00037042506,0.0018416562,0.0018256964,0.0017509959,0.0010364451,0.001009678,-0.0028907321
3.5382618e-05,2.198991e-05,0.00012980167,-7.34403e-05,-0.0002253291,4.1340398e-05,-0.00029436807,-0.0002090909,-0.00018396878,-0.00041204493,-5.4206932e-05,-0.00037789784,0.00029038166,-0.00027750907,-0.0006374948,0.00027012965,-0.0002862417,0.00029349883,-1.505004e-05,-0.0008160237,-0.00024399496,2.6029487e-05,-0.0008385349,4.944829e-06,-0.0004828185,-0.0011380791,-0.0011604436,0.0034557963,-0.00017859349,-9.4154195e-05,-1.1207779e-05,7.117743e-05,8.8744375e-05,-0.00015205573,-0.0002382285,-0.00074462756,-6.455473e-05,-0.00027200248,-0.00025859778,4.3536624e-05,-1.2647782e-05,-1.2914255e-05,-2.1652966e-05,-3.117297e-05,-3.504189e-05,-0.00013179488,1.2995187e-06,-9.059866e-06,-5.5462475e-05,-8.802763e-05,-0.00012427072,0.0001372995,5.9720307e-05,3.7994927e-05,-0.00020128454,-0.00022868004,-1.2731698e-05,-0.0001056641,-0.00022211162,-0.00015650399,-0.00016143177,-0.00018629548,-0.00010169816,-0.0001024323,-0.00013687556,-0.00014746563,-0.00017160484,-0.0001869308,-0.00013755623,-0.00017384543,-0.00020914609,-0.000108611224,-0.00013161787,-0.00012586488,-0.0001722727,-0.0002495754,9.641529e-05,8.014097e-05,-0.00030792263,-0.00031767748,-0.0002086924,-0.00021388424,-0.00017816648,-0.00019661593,-0.00020473283,-0.00021573287,8.7073975e-05,-5.9711303e-05,0.00036031383,0.0003574951,0.00034090242,-0.00057318615,-0.00061647873,-0.00010130095,-0.00015087928,-0.00017287972,-0.00019188701,-0.00059070677,-0.00060290896,0.00015853478,0.00015236209,-0.0004135146,-0.0004764644,0.002204654,0.0021654712,0.002047839,0.0012435234,0.0012165668,-0.003486909
1.5974076e-05,2.7549731e-05,0.00013116033,-5.3880085e-05,-0.00015174318,4.70499e-05,-0.00024393978,-0.000150028,-0.00014790756,-0.0003025967,-4.60127e-06,-0.0003080466,0.00020230984,-0.00016021883,-0.0005238457,0.0001700527,-0.00020634837,0.00024119222,-5.6663856e-05,-0.0006720394,-0.00022659865,3.1593663e-05,-0.00069215056,2.906485e-06,-0.00039902516,-0.00094862876,-0.0009771887,0.002846212,-8.5308544e-05,-7.127466e-05,-6.120537e-05,1.2821427e-05,6.116378e-05,-0.00010721388,-0.00017980457,-0.0006047813,-3.6318965e-05,-0.00019750085,-0.00021430242,4.8520105e-05,-1.3682167e-05,-1.3926614e-05,-1.8315595e-05,-2.9865423e-05,-8.819714e-05,-0.00011095458,-1.7405986e-05,-2.9922514e-05,-3.7844537e-05,-7.1865274e-05,-9.000269e-05,6.398207e-05,4.680434e-05,3.557358e-05,-0.00015412467,-0.00017260762,2.8913522e-05,-4.326259e-05,-0.0001397236,-0.000102445476,-0.00014054969,-0.00016419234,-7.445182e-05,-7.5094205e-05,-0.000102452446,-0.00012692831,-0.0001296636,-0.00015559491,-0.00011241376,-0.00012757335,-0.0001556295,-6.971151e-05,-9.224393e-05,-8.312463e-05,-0.000108508364,-0.00018960459,7.2446426e-05,6.844935e-05,-0.00025333275,-0.00026013222,-0.00015388441,-0.00016169167,-0.000121722194,-0.00015008732,-0.00016381076,-0.00016381076,7.6893164e-05,-1.6218343e-06,0.00028888116,0.00028767897,0.00026266105,-0.00046665964,-0.0005025282,-8.4226835e-05,-8.4226835e-05,-0.00012367363,-0.00014698549,-0.00046097234,-0.0005008812,0.00014373787,0.00013371912,-0.00033499495,-0.00034982373,0.0018096934,0.0017882595,0.0017430512,0.0010290556,0.0010067401,-0.0028766317
-1.30173175e-05,6.695766e-05,0.00010146824,-1.8701241e-05,-0.00013932477,4.2908516e-05,-0.00020824393,-0.00010162766,-0.0002123897,-0.00033141376,-9.6143594e-05,-0.0002467848,0.00020251384,-0.00019680274,-0.00045554692,0.00013928344,-0.00021885165,0.00022323783,-4.080997e-05,-0.00060271926,-0.00020928096,3.627792e-05,-0.0006207634,4.2141246e-06,-0.00034204053,-0.0008339242,-0.0008582434,0.002564112,-0.00014652153,-7.2259194e-05,-4.138879e-05,2.5723233e-05,5.2044532e-05,-0.00012412705,-0.00022782656,-0.00055223313,-1.3164709e-05,-0.00023310458,-0.00019691356,-6.878547e-06,-1.1666027e-05,-1.1863394e-05,-1.6888393e-05,-3.0147046e-05,-4.345271e-05,-5.386048e-05,-3.983861e-05,-5.383451e-05,-4.372931e-05,-9.283646e-05,-0.000113621274,0.00012147411,8.933496e-05,7.614851e-05,-0.0001560428,-0.00016608929,-3.0630774e-05,-7.773001e-05,-0.0001145308,-8.656433e-05,-0.0001097797,-0.00012625146,-8.243789e-05,-8.333804e-05,-0.00011672434,-8.6084794e-05,-0.00011245285,-0.00012452043,-9.268359e-05,-0.000114442984,-0.0001353146,-4.0624513e-05,-5.8732774e-05,-0.00010899965,-0.0001328435,-0.0001740535,8.344363e-05,6.853113e-05,-0.00022984321,-0.00023438605,-0.00015651408,-0.00015964625,-0.00014639115,-0.00016038648,-0.00016678087,-0.0001967268,3.4604447e-05,-5.728376e-05,0.00029806452,0.00029635738,0.00028639965,-0.00042411828,-0.00043782653,-9.747058e-05,-0.000131772,-0.00015979017,-0.0001630604,-0.00045471554,-0.0004824105,0.00013886772,0.00013445606,-0.0003052706,-0.00031206806,0.0016426655,0.0016225317,0.0015082968,0.0009154422,0.0009154422,-0.002590447
-1.1558799e-05,-2.7986762e-05,7.1249764e-05,-2.8769104e-05,-0.00018762665,3.86867e-05,-0.00025339687,-0.00015046429,-0.0002143302,-0.00037579428,-7.974288e-05,-0.00030923693,0.0001840529,-0.00022615514,-0.00054982,0.00021243168,-0.00023638846,0.00027197914,-1.716691e-05,-0.00072876905,-0.00018568976,3.119252e-05,-0.0007478749,1.6561979e-06,-0.0004560579,-0.0010242269,-0.0010436012,0.0030425894,-0.00018827626,-0.0001183605,-8.032002e-05,-2.2469033e-06,4.0257786e-05,-0.00014991224,-0.00024150049,-0.00065530784,-1.592341e-05,-0.0002466842,-0.00022337088,-6.4569925e-08,-1.1227723e-05,-1.1462147e-05,-1.7213311e-05,-2.8616802e-05,-7.169369e-05,-0.00012216956,-4.541512e-05,-5.5330704e-05,-3.941171e-05,-0.0001117777,-0.00013558519,0.00012797004,1.4254442e-05,-1.7463488e-05,-0.00010468329,-0.000121634504,1.3160183e-06,-7.2144576e-05,-0.00016987203,-9.334416e-05,-0.00015755721,-0.0001667329,-0.00011288171,-0.00011385891,-0.00013014782,-0.00012644593,-0.00014103297,-0.0001464394,-0.000116962074,-0.00014154927,-0.00015804068,-6.547938e-05,-8.833304e-05,-9.3149974e-05,-0.00011833991,-0.00020549165,0.00010381581,9.438586e-05,-0.0002694104,-0.00027629823,-0.0001534439,-0.00015844514,-0.0001787095,-0.00018807712,-0.00019095006,-0.00020727828,3.0070187e-05,-6.232021e-05,0.00033699602,0.00033507255,0.00031909387,-0.00048535253,-0.0005216915,-9.951879e-05,-0.00015030621,-0.00017115167,-0.00017735176,-0.00052389404,-0.00056237757,0.00014965868,0.00014325402,-0.00034028216,-0.00037313695,0.0019351459,0.0019138758,0.0018385259,0.0010998746,0.0010966321,-0.0030733845
-3.884779e-06,2.6790847e-05,0.00015848549,-5.171144e-05,-0.00010863464,3.5952584e-05,-0.00021414142,-0.00022085069,-8.032802e-05,-0.00031449666,-2.8771829e-05,-0.00029286405,0.0001573815,-0.00020055096,-0.00047762843,0.00017922788,-0.00023976417,0.00016279805,-1.39860085e-05,-0.00060928374,-0.00017753652,1.7743645e-05,-0.0006241245,3.6410245e-06,-0.00037805628,-0.00084886653,-0.00087304553,0.002580648,-0.00016893503,-0.00010694151,-4.7759244e-05,1.798985e-05,2.041382e-05,-9.617594e-05,-0.00015069886,-0.0005567433,-8.569896e-05,-0.00019274629,-0.00020914181,2.0618983e-05,-1.1420583e-05,-1.1606934e-05,-1.4730391e-05,-2.1227717e-05,-3.9723058e-05,-0.00011848699,-2.5594221e-05,-4.7011035e-05,-2.074667e-05,-7.583532e-05,-8.870501e-05,0.000116398034,6.012718e-05,3.2492633e-05,-0.00023227987,-0.0002451563,-4.408258e-05,-0.000111879715,-0.00012804927,-9.895643e-05,-0.00012525763,-0.0001596837,-7.193917e-05,-7.288136e-05,-9.009099e-05,-0.00011432573,-0.00012213024,-0.00013730528,-0.00010303171,-0.0001329397,-0.00014669028,-0.0001070972,-0.00012175731,-0.00011422429,-0.00013310282,-0.00016603769,7.424806e-05,6.283123e-05,-0.00023830563,-0.0002449106,-0.00014300476,-0.00014934911,-0.000112440335,-0.000121318204,-0.00012935535,-0.00014401811,5.1480823e-05,-5.328769e-05,0.00025715958,0.00025482906,0.00023452377,-0.00043833346,-0.00044437835,-8.589159e-05,-0.00011779296,-0.00012477844,-0.00013454253,-0.0004140493,-0.00043861888,0.000117142736,0.00011145527,-0.00029284728,-0.00034409846,0.0016438661,0.0016279239,0.0015569816,0.00093191443,0.00090360787,-0.0026011816
1.10115725e-05,6.056719e-05,9.16404e-05,-3.942156e-05,-0.00021723962,4.142083e-05,-0.00020723068,-8.7813394e-05,-0.00025267844,-0.00034474488,-0.000118632044,-0.00023796955,9.9805875e-05,-0.00023121998,-0.00047216835,0.00014270096,-0.00018401798,0.0002718156,-6.853227e-05,-0.0006470187,-0.00023017504,2.3174092e-05,-0.0006600193,1.4017266e-06,-0.00036723525,-0.0008764751,-0.00089157786,0.0026710145,-0.00013819519,-0.00011109735,-0.00011890045,-7.726882e-05,-3.7811147e-05,-0.00015147221,-0.00022975518,-0.0005699966,3.6688165e-05,-0.00022546249,-0.00017394745,-6.1150866e-05,-7.914239e-06,-8.128635e-06,-1.3302276e-05,-2.1780636e-05,-6.393062e-05,-0.000105987296,-1.1473488e-05,-1.8543877e-05,-5.0175713e-05,-9.9768054e-05,-0.0001211716,0.00013819519,7.003078e-05,7.003078e-05,-0.00012287503,-0.00014652398,6.017217e-05,-6.253721e-05,-0.00017087962,-9.5462536e-05,-0.00012615077,-0.00014028182,-0.00010120951,-0.000101809,-0.00013078986,-0.00010729709,-0.00011892247,-0.00013845843,-8.161316e-05,-0.00010689338,-0.00015166367,-1.6462298e-05,-3.1645595e-05,-8.677117e-05,-0.00012992116,-0.00018490288,8.396323e-05,8.031593e-05,-0.00022426626,-0.00023134646,-0.0001501644,-0.00015592082,-0.00017028673,-0.00018771335,-0.00019805587,-0.00021165783,-4.5053857e-05,-7.617677e-05,0.00032390328,0.00032192678,0.0003035153,-0.000434432,-0.00047471392,-9.377911e-05,-0.00013703389,-0.0001602856,-0.00017831859,-0.0004697288,-0.00052620406,0.00015727816,0.00015152806,-0.00030023206,-0.00032761157,0.001683671,0.0016472386,0.0016058226,0.0009823034,0.000964592,-0.0026922703
